modal,percentage_blue,cond,rating_pred,run
probably,35,might-probably,0.0823220796307,2
other,35,might-probably,0.0883212418701,2
might,40,might-probably,0.779028638884,2
probably,40,might-probably,0.13839905433,2
other,40,might-probably,0.0825723067861,2
might,45,might-probably,0.697243248653,2
probably,45,might-probably,0.22727574092,2
other,45,might-probably,0.075481010427,2
might,50,might-probably,0.584324325558,2
probably,50,might-probably,0.349496980421,2
other,50,might-probably,0.0661786940211,2
might,55,might-probably,0.455202103719,2
probably,55,might-probably,0.489298854816,2
other,55,might-probably,0.055499041465,2
might,60,might-probably,0.333666570313,2
probably,60,might-probably,0.62100643956,2
other,60,might-probably,0.0453269901272,2
might,65,might-probably,0.236713525913,2
probably,65,might-probably,0.726151368958,2
other,65,might-probably,0.0371351051284,2
might,70,might-probably,0.167792465815,2
probably,70,might-probably,0.800909069661,2
other,70,might-probably,0.0312984645246,2
might,75,might-probably,0.121953721987,2
probably,75,might-probably,0.850566758981,2
other,75,might-probably,0.0274795190321,2
might,80,might-probably,0.0924456808046,2
probably,80,might-probably,0.88235429589,2
other,80,might-probably,0.0252000233056,2
might,85,might-probably,0.0737989522701,2
probably,85,might-probably,0.902017758874,2
other,85,might-probably,0.0241832888555,2
might,90,might-probably,0.0624270435881,2
probably,90,might-probably,0.912851770081,2
other,90,might-probably,0.0247211863313,2
might,95,might-probably,0.0565845410967,2
probably,95,might-probably,0.913595897,2
other,95,might-probably,0.0298195619031,2
might,100,might-probably,0.0364735989111,2
probably,100,might-probably,0.392753205392,2
other,100,might-probably,0.570773195697,2
might,0,might-probably,0.0273510293849,3
probably,0,might-probably,0.0166666673164,3
other,0,might-probably,0.955982303299,3
might,5,might-probably,0.300616366059,3
probably,5,might-probably,0.0166743870402,3
other,5,might-probably,0.682709246901,3
might,10,might-probably,0.654354479288,3
probably,10,might-probably,0.0168761947855,3
other,10,might-probably,0.328769325927,3
might,15,might-probably,0.797249682456,3
probably,15,might-probably,0.0178369121372,3
other,15,might-probably,0.184913405406,3
might,20,might-probably,0.847966669554,3
probably,20,might-probably,0.020659791373,3
other,20,might-probably,0.131373539073,3
might,25,might-probably,0.863817126481,3
probably,25,might-probably,0.0274690550925,3
other,25,might-probably,0.108713818426,3
might,30,might-probably,0.859909094034,3
probably,30,might-probably,0.0421808241633,3
other,30,might-probably,0.0979100818029,3
might,35,might-probably,0.83659050647,3
probably,35,might-probably,0.0718212880335,3
other,35,might-probably,0.0915882054967,3
might,40,might-probably,0.786464614338,3
probably,40,might-probably,0.127729515516,3
other,40,might-probably,0.0858058701463,3
might,45,might-probably,0.699372251972,3
probably,45,might-probably,0.222662387807,3
other,45,might-probably,0.0779653602211,3
might,50,might-probably,0.574580773552,3
probably,50,might-probably,0.358299065803,3
other,50,might-probably,0.0671201606449,3
might,55,might-probably,0.432834434761,3
probably,55,might-probably,0.512436358194,3
other,55,might-probably,0.0547292070442,3
might,60,might-probably,0.305604588438,3
probably,60,might-probably,0.650894868687,3
other,60,might-probably,0.043500542875,3
might,65,might-probably,0.21087648322,3
probably,65,might-probably,0.754043778851,3
other,65,might-probably,0.0350797379293,3
might,70,might-probably,0.148114249473,3
probably,70,might-probably,0.822395817793,3
other,70,might-probably,0.0294899327339,3
might,75,might-probably,0.108877608075,3
probably,75,might-probably,0.86508509138,3
other,75,might-probably,0.0260373005455,3
might,80,might-probably,0.0849677346939,3
probably,80,might-probably,0.89098200689,3
other,80,might-probably,0.024050258416,3
might,85,might-probably,0.0707337490202,3
probably,85,might-probably,0.906128250583,3
other,85,might-probably,0.0231380003964,3
might,90,might-probably,0.0628339248811,3
probably,90,might-probably,0.913811761396,3
other,90,might-probably,0.0233543137231,3
might,95,might-probably,0.0595675661861,3
probably,95,might-probably,0.9140947085,3
other,95,might-probably,0.0263377253139,3
might,100,might-probably,0.0370801110709,3
probably,100,might-probably,0.386312032638,3
other,100,might-probably,0.576607856291,3
might,0,might-probably,0.0299667522542,4
probably,0,might-probably,0.016666691427,4
other,0,might-probably,0.953366556319,4
might,5,might-probably,0.321094374424,4
probably,5,might-probably,0.016715286034,4
other,5,might-probably,0.662190339542,4
might,10,might-probably,0.661137665325,4
probably,10,might-probably,0.0173119413513,4
other,10,might-probably,0.321550393324,4
might,15,might-probably,0.79470206625,4
probably,15,might-probably,0.0192207748146,4
other,15,might-probably,0.186077158935,4
might,20,might-probably,0.841200677971,4
probably,20,might-probably,0.0236582423287,4
other,20,might-probably,0.1351410797,4
might,25,might-probably,0.853753796696,4
probably,25,might-probably,0.03283886707,4
other,25,might-probably,0.113407336234,4
might,30,might-probably,0.846466968918,4
probably,30,might-probably,0.0505944519666,4
other,30,might-probably,0.102938579115,4
might,35,might-probably,0.820107342925,4
probably,35,might-probably,0.0832695947551,4
other,35,might-probably,0.0966230623201,4
might,40,might-probably,0.769246853809,4
probably,40,might-probably,0.140049902373,4
other,40,might-probably,0.0907032438177,4
might,45,might-probably,0.687084980946,4
probably,45,might-probably,0.230040466524,4
other,45,might-probably,0.0828745525302,4
might,50,might-probably,0.573958935596,4
probably,50,might-probably,0.353717803858,4
other,50,might-probably,0.0723232605457,4
might,55,might-probably,0.444866953046,4
probably,55,might-probably,0.495011617785,4
other,55,might-probably,0.060121429169,4
might,60,might-probably,0.323651968668,4
probably,60,might-probably,0.627862635448,4
other,60,might-probably,0.048485395884,4
might,65,might-probably,0.227265505666,4
probably,65,might-probably,0.733617309828,4
other,65,might-probably,0.0391171845056,4
might,70,might-probably,0.159025390558,4
probably,70,might-probably,0.808537131499,4
