modal,percentage_blue,cond,rating_pred,run
other,35,might-probably,0.189250066244,2
might,40,might-probably,0.705712194702,2
probably,40,might-probably,0.114822207073,2
other,40,might-probably,0.179465598224,2
might,45,might-probably,0.636858638015,2
probably,45,might-probably,0.199769505713,2
other,45,might-probably,0.163371856272,2
might,50,might-probably,0.542903569844,2
probably,50,might-probably,0.315787683909,2
other,50,might-probably,0.141308746247,2
might,55,might-probably,0.439322972541,2
probably,55,might-probably,0.443751442314,2
other,55,might-probably,0.116925585145,2
might,60,might-probably,0.346715717444,2
probably,60,might-probably,0.558178686729,2
other,60,might-probably,0.0951055958272,2
might,65,might-probably,0.276754652848,2
probably,65,might-probably,0.64461323833,2
other,65,might-probably,0.0786321088218,2
might,70,might-probably,0.229940729936,2
probably,70,might-probably,0.702408251158,2
other,70,might-probably,0.0676510189057,2
might,75,might-probably,0.201563188416,2
probably,75,might-probably,0.737352140081,2
other,75,might-probably,0.0610846715035,2
might,80,might-probably,0.186280088061,2
probably,80,might-probably,0.755984777938,2
other,80,might-probably,0.0577351340014,2
might,85,might-probably,0.179507473894,2
probably,85,might-probably,0.763818248288,2
other,85,might-probably,0.0566742778184,2
might,90,might-probably,0.17737242833,2
probably,90,might-probably,0.76514706307,2
other,90,might-probably,0.0574805086,2
might,95,might-probably,0.176530863579,2
probably,95,might-probably,0.761626839182,2
other,95,might-probably,0.0618422972385,2
might,100,might-probably,0.0916789511093,2
probably,100,might-probably,0.355423070772,2
other,100,might-probably,0.552897978119,2
might,0,might-probably,0.0185285586839,3
probably,0,might-probably,0.0166666666668,3
other,0,might-probably,0.964804774649,3
might,5,might-probably,0.345361542358,3
probably,5,might-probably,0.0166667472741,3
other,5,might-probably,0.637971710368,3
might,10,might-probably,0.687095932467,3
probably,10,might-probably,0.0166762509965,3
other,10,might-probably,0.296227816536,3
might,15,might-probably,0.767142234003,3
probably,15,might-probably,0.0168064913208,3
other,15,might-probably,0.216051274676,3
might,20,might-probably,0.783403035962,3
probably,20,might-probably,0.0176441337946,3
other,20,might-probably,0.198952830243,3
might,25,might-probably,0.783734807353,3
probably,25,might-probably,0.0210212303511,3
other,25,might-probably,0.195243962296,3
might,30,might-probably,0.776097125481,3
probably,30,might-probably,0.0308949485392,3
other,30,might-probably,0.19300792598,3
might,35,might-probably,0.757249110745,3
probably,35,might-probably,0.0540535593929,3
other,35,might-probably,0.188697329862,3
might,40,might-probably,0.719542668232,3
probably,40,might-probably,0.100374186314,3
other,40,might-probably,0.180083145454,3
might,45,might-probably,0.654514541229,3
probably,45,might-probably,0.180375124275,3
other,45,might-probably,0.165110334495,3
might,50,might-probably,0.560878441339,3
probably,50,might-probably,0.295682571977,3
other,50,might-probably,0.143438986685,3
might,55,might-probably,0.453078521716,3
probably,55,might-probably,0.428497298868,3
other,55,might-probably,0.118424179416,3
might,60,might-probably,0.354385413219,3
probably,60,might-probably,0.550113332945,3
other,60,might-probably,0.095501253836,3
might,65,might-probably,0.279529613811,3
probably,65,might-probably,0.642348273176,3
