modal,percentage_blue,cond,rating_pred,run
might,40,might-probably,0.562654845119,2
probably,40,might-probably,0.284152806712,2
other,40,might-probably,0.153192348169,2
might,45,might-probably,0.51702336452,2
probably,45,might-probably,0.341096725752,2
other,45,might-probably,0.141879909729,2
might,50,might-probably,0.470457371017,2
probably,50,might-probably,0.39921209758,2
other,50,might-probably,0.130330531403,2
might,55,might-probably,0.424317066701,2
probably,55,might-probably,0.456795888119,2
other,55,might-probably,0.11888704518,2
might,60,might-probably,0.379807431351,2
probably,60,might-probably,0.512337332383,2
other,60,might-probably,0.107855236266,2
might,65,might-probably,0.33787049265,2
probably,65,might-probably,0.564651675543,2
other,65,might-probably,0.0974778318071,2
might,70,might-probably,0.29913396068,2
probably,70,might-probably,0.612942223838,2
other,70,might-probably,0.0879238154827,2
might,75,might-probably,0.263913903735,2
probably,75,might-probably,0.656791867705,2
other,75,might-probably,0.07929422856,2
might,80,might-probably,0.232258601138,2
probably,80,might-probably,0.69609465498,2
other,80,might-probably,0.0716467438821,2
might,85,might-probably,0.20402721816,2
probably,85,might-probably,0.730914527597,2
other,85,might-probably,0.0650582542431,2
might,90,might-probably,0.179056564337,2
probably,90,might-probably,0.761098869504,2
other,90,might-probably,0.0598445661594,2
might,95,might-probably,0.157926501965,2
probably,95,might-probably,0.784098163178,2
other,95,might-probably,0.0579753348573,2
might,100,might-probably,0.0800537855967,2
probably,100,might-probably,0.322518462649,2
other,100,might-probably,0.597427751754,2
might,0,might-probably,0.0918379772928,3
probably,0,might-probably,0.0188352706424,3
other,0,might-probably,0.889326752065,3
might,5,might-probably,0.587759034356,3
probably,5,might-probably,0.0302343062153,3
other,5,might-probably,0.382006659429,3
might,10,might-probably,0.718099912091,3
probably,10,might-probably,0.0433141747871,3
other,10,might-probably,0.238585913122,3
might,15,might-probably,0.732269209268,3
probably,15,might-probably,0.0633173933343,3
other,15,might-probably,0.204413397398,3
might,20,might-probably,0.716093238647,3
probably,20,might-probably,0.0915878974255,3
other,20,might-probably,0.192318863928,3
might,25,might-probably,0.688245598702,3
probably,25,might-probably,0.127808867501,3
other,25,might-probably,0.183945533797,3
might,30,might-probably,0.653529721628,3
probably,30,might-probably,0.171303070036,3
other,30,might-probably,0.175167208337,3
might,35,might-probably,0.613537522715,3
probably,35,might-probably,0.221179666862,3
other,35,might-probably,0.165282810423,3
might,40,might-probably,0.569426083253,3
probably,40,might-probably,0.276181190368,3
other,40,might-probably,0.154392726379,3
might,45,might-probably,0.522542961576,3
probably,45,might-probably,0.334650083226,3
other,45,might-probably,0.142806955198,3
might,50,might-probably,0.474428540571,3
probably,50,might-probably,0.394663632377,3
other,50,might-probably,0.130907827052,3
might,55,might-probably,0.426648751501,3
probably,55,might-probably,0.454263280082,3
other,55,might-probably,0.119087968417,3
might,60,might-probably,0.380607119818,3
probably,60,might-probably,0.511691603269,3
other,60,might-probably,0.107701276913,3
might,65,might-probably,0.337402907261,3
probably,65,might-probably,0.565569090666,3
other,65,might-probably,0.0970280020726,3
might,70,might-probably,0.29776358138,3
probably,70,might-probably,0.614976878775,3
other,70,might-probably,0.0872595398453,3
might,75,might-probably,0.262050030428,3
probably,75,might-probably,0.659446214723,3
other,75,might-probably,0.0785037548489,3
might,80,might-probably,0.230316367499,3
probably,80,might-probably,0.698873006416,3
other,80,might-probably,0.0708106260843,3
might,85,might-probably,0.202412433777,3
probably,85,might-probably,0.7333559307,3
other,85,might-probably,0.0642316355231,3
might,90,might-probably,0.178182573734,3
probably,90,might-probably,0.76280839234,3
other,90,might-probably,0.0590090339267,3
might,95,might-probably,0.158282819705,3
probably,95,might-probably,0.784987544559,3
other,95,might-probably,0.0567296357362,3
might,100,might-probably,0.0770774009232,3
probably,100,might-probably,0.308085647902,3
other,100,might-probably,0.614836951175,3
might,0,might-probably,0.0844888915345,4
probably,0,might-probably,0.0174158264038,4
other,0,might-probably,0.898095282062,4
might,5,might-probably,0.568100705262,4
probably,5,might-probably,0.0248906090137,4
other,5,might-probably,0.407008685724,4
might,10,might-probably,0.716838705531,4
probably,10,might-probably,0.0355059349407,4
other,10,might-probably,0.247655359529,4
might,15,might-probably,0.739945624775,4
probably,15,might-probably,0.0523743868805,4
other,15,might-probably,0.207679988345,4
might,20,might-probably,0.728412112278,4
probably,20,might-probably,0.0775863610537,4
other,20,might-probably,0.194001526668,4
might,25,might-probably,0.702811990567,4
probably,25,might-probably,0.111705962096,4
other,25,might-probably,0.185482047337,4
might,30,might-probably,0.668614562593,4
probably,30,might-probably,0.154595586953,4
other,30,might-probably,0.176789850455,4
might,35,might-probably,0.627612339861,4
