workerid,percentage_blue,rating,modal
0,0,0.96,"""noise"""
0,10,0.57,"""noise"""
0,25,0.34,"""noise"""
0,40,0.78,"""noise"""
0,50,0.49,"""noise"""
0,60,0.41,"""noise"""
0,75,0.8,"""noise"""
0,90,0.78,"""noise"""
0,100,0.26,"""noise"""
