workerid,percentage_blue,rating,modal
0,0,0.18,"""noise"""
0,10,0.26,"""noise"""
0,25,0.2,"""noise"""
0,40,0.37,"""noise"""
0,50,0.32,"""noise"""
0,60,0.28,"""noise"""
0,75,0.27,"""noise"""
0,90,0.32,"""noise"""
0,100,0.32,"""noise"""
