"","Parameter","0","0.05","0.1","0.15","0.2","0.25","0.3","0.35","0.4","0.45","0.5","0.55","0.6","0.65","0.7","0.75","0.8","0.85","0.9","0.95","1"
"1","bare",0,0,0,0,5e-05,0,0,0,0,0,5e-05,0,0,0,0.00105,0.00085,0.0711,0.12755,0.24615,0.5532,0
"2","could",0,0.1664,0.11355,0.10955,0.07705,0.05525,0.09255,0.0747,0.06085,0.05435,0.0356,0.03225,0.01815,0.0389,0.0287,0.01685,0.0107,0.00855,0.0044,0.00165,0
"3","looks_like",0,0,0,0,0,0,0.00185,0.00515,0.0131,0.029,0.05705,0.08405,0.12235,0.15705,0.1753,0.15055,0.11385,0.0657,0.02235,0.00265,0
"4","might",0,0.51475,0.2376,0.1235,0.0773,0.04535,0.00025,0.0011,5e-05,0,1e-04,0,0,0,0,0,0,0,0,0,0
"5","probably",0,0,0,0,0,0,0.00195,0.011,0.03725,0.1012,0.19985,0.295,0.35375,0,0,0,0,0,0,0,0
"6","think",0,0,0,0,0.00025,0.0028,0.0117,0.0378,0.04395,0.0806,0.0905,0.10785,0.11025,0.18315,0.1552,0.1139,0.04105,0.0172,0.0038,0,0
"7","zzz_foo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
