"workerid","percentage_blue","rating","modal","speaker_cond"
18,10,0.55,"""noise""","f"
18,25,0.59,"""noise""","f"
18,40,0.53,"""noise""","f"
18,50,0.53,"""noise""","f"
18,60,0.5,"""noise""","f"
18,75,0.55,"""noise""","f"
18,90,0.48,"""noise""","f"
18,100,0.49,"""noise""","f"
19,0,0.15,"""noise""","f"
19,10,0.32,"""noise""","f"
19,25,0.37,"""noise""","f"
19,40,0.56,"""noise""","f"
19,50,0.57,"""noise""","f"
19,60,0.51,"""noise""","f"
19,75,0.72,"""noise""","f"
19,90,0.81,"""noise""","f"
19,100,0.96,"""noise""","f"
20,0,0.42,"""noise""","m"
20,10,0.51,"""noise""","m"
20,25,0.44,"""noise""","m"
20,40,0.22,"""noise""","m"
20,50,0.45,"""noise""","m"
20,60,0.57,"""noise""","m"
20,75,0.54,"""noise""","m"
20,90,0.49,"""noise""","m"
20,100,0.53,"""noise""","m"
21,0,0.25,"""noise""","m"
21,10,0.36,"""noise""","m"
21,25,0.34,"""noise""","m"
21,40,0.23,"""noise""","m"
21,50,0.38,"""noise""","m"
21,60,0.38,"""noise""","m"
21,75,0.36,"""noise""","m"
21,90,0.31,"""noise""","m"
21,100,0.34,"""noise""","m"
22,0,1,"""noise""","m"
22,10,1,"""noise""","m"
22,25,1,"""noise""","m"
22,40,1,"""noise""","m"
22,50,1,"""noise""","m"
22,60,1,"""noise""","m"
22,75,1,"""noise""","m"
22,90,1,"""noise""","m"
22,100,1,"""noise""","m"
23,0,0.77,"""noise""","m"
23,10,0.74,"""noise""","m"
23,25,0.64,"""noise""","m"
23,40,0.7,"""noise""","m"
23,50,0.77,"""noise""","m"
23,60,0.5,"""noise""","m"
23,75,0.54,"""noise""","m"
23,90,0.5,"""noise""","m"
23,100,0.5,"""noise""","m"
24,0,0.8,"""noise""","m"
24,10,0.74,"""noise""","m"
24,25,0.77,"""noise""","m"
24,40,0.4,"""noise""","m"
24,50,0.38,"""noise""","m"
24,60,0.57,"""noise""","m"
24,75,0.73,"""noise""","m"
24,90,0.88,"""noise""","m"
24,100,0.8,"""noise""","m"
25,0,0.51,"""noise""","m"
25,10,0.52,"""noise""","m"
25,25,0.45,"""noise""","m"
25,40,0.51,"""noise""","m"
25,50,0.55,"""noise""","m"
25,60,0.49,"""noise""","m"
25,75,0.51,"""noise""","m"
25,90,0.47,"""noise""","m"
25,100,0.52,"""noise""","m"
26,0,0.15,"""noise""","m"
26,10,0.2,"""noise""","m"
26,25,0.22,"""noise""","m"
26,40,0.24,"""noise""","m"
26,50,0.46,"""noise""","m"
26,60,0.4,"""noise""","m"
26,75,0.28,"""noise""","m"
26,90,0.22,"""noise""","m"
26,100,0.02,"""noise""","m"
27,0,1,"""noise""","m"
27,10,1,"""noise""","m"
27,25,1,"""noise""","m"
27,40,1,"""noise""","m"
27,50,0.55,"""noise""","m"
27,60,0,"""noise""","m"
27,75,0,"""noise""","m"
27,90,0,"""noise""","m"
27,100,0,"""noise""","m"
28,0,0.58,"""noise""","m"
28,10,0.47,"""noise""","m"
28,25,0.56,"""noise""","m"
28,40,0.51,"""noise""","m"
28,50,0.41,"""noise""","m"
28,60,0.51,"""noise""","m"
28,75,0.49,"""noise""","m"
28,90,0.41,"""noise""","m"
28,100,0.55,"""noise""","m"
29,0,0.32,"""noise""","m"
29,10,0.72,"""noise""","m"
29,25,0.66,"""noise""","m"
29,40,0.72,"""noise""","m"
29,50,0.5,"""noise""","m"
29,60,0.23,"""noise""","m"
29,75,0.29,"""noise""","m"
29,90,0.18,"""noise""","m"
29,100,0.03,"""noise""","m"
30,0,0.5,"""noise""","m"
30,10,0.53,"""noise""","m"
30,25,0.51,"""noise""","m"
30,40,0.51,"""noise""","m"
30,50,0.51,"""noise""","m"
30,60,0.54,"""noise""","m"
30,75,0.52,"""noise""","m"
30,90,0.49,"""noise""","m"
30,100,0.54,"""noise""","m"
31,0,0.48,"""noise""","m"
31,10,0.82,"""noise""","m"
31,25,0.85,"""noise""","m"
31,40,0.88,"""noise""","m"
31,50,0.87,"""noise""","m"
31,60,0.88,"""noise""","m"
31,75,0.87,"""noise""","m"
31,90,0.86,"""noise""","m"
31,100,0.47,"""noise""","m"
32,0,0.51,"""noise""","m"
32,10,0.51,"""noise""","m"
32,25,0.53,"""noise""","m"
32,40,0.55,"""noise""","m"
32,50,0.53,"""noise""","m"
32,60,0.55,"""noise""","m"
32,75,0.57,"""noise""","m"
32,90,0.51,"""noise""","m"
32,100,0.58,"""noise""","m"
33,0,0.37,"""noise""","m"
33,10,0.82,"""noise""","m"
33,25,0.86,"""noise""","m"
33,40,0.88,"""noise""","m"
33,50,0.83,"""noise""","m"
33,60,0.84,"""noise""","m"
33,75,0.86,"""noise""","m"
33,90,0.81,"""noise""","m"
33,100,0.13,"""noise""","m"
34,0,0,"""noise""","m"
34,10,0,"""noise""","m"
34,25,0,"""noise""","m"
