workerid,percentage_blue,rating,modal
0,0,1,"""noise"""
0,10,0.44,"""noise"""
0,25,0.36,"""noise"""
0,40,0.29,"""noise"""
0,50,0.36,"""noise"""
0,60,0.28,"""noise"""
0,75,0.3,"""noise"""
0,90,0.33,"""noise"""
0,100,0.95,"""noise"""
1,0,0.28,"""noise"""
1,10,0.64,"""noise"""
1,25,0.62,"""noise"""
1,40,0.66,"""noise"""
1,50,0.64,"""noise"""
1,60,0.58,"""noise"""
1,75,0.38,"""noise"""
1,90,0.2,"""noise"""
1,100,0.12,"""noise"""
2,0,0.01,"""noise"""
2,10,0.22,"""noise"""
2,25,1,"""noise"""
2,40,0.97,"""noise"""
2,50,1,"""noise"""
2,60,1,"""noise"""
2,75,1,"""noise"""
2,90,0.26,"""noise"""
2,100,0,"""noise"""
3,0,0.07,"""noise"""
3,10,0.26,"""noise"""
3,25,0.48,"""noise"""
3,40,0.68,"""noise"""
3,50,0.91,"""noise"""
3,60,0.68,"""noise"""
3,75,0.48,"""noise"""
3,90,0.3,"""noise"""
3,100,0.03,"""noise"""
4,0,0.77,"""noise"""
4,10,0.46,"""noise"""
4,25,0.55,"""noise"""
4,40,0.2,"""noise"""
4,50,0.16,"""noise"""
4,60,0.75,"""noise"""
4,75,0.53,"""noise"""
4,90,0.54,"""noise"""
4,100,0.72,"""noise"""
5,0,0.92,"""noise"""
5,10,0.96,"""noise"""
5,25,0.7,"""noise"""
5,40,0.6,"""noise"""
5,50,0.52,"""noise"""
5,60,0.7,"""noise"""
5,75,0.48,"""noise"""
5,90,0.33,"""noise"""
5,100,0.25,"""noise"""
6,0,0.03,"""noise"""
6,10,0.29,"""noise"""
6,25,0.49,"""noise"""
6,40,0.58,"""noise"""
6,50,0.59,"""noise"""
6,60,0.68,"""noise"""
6,75,0.76,"""noise"""
6,90,0.83,"""noise"""
6,100,0.98,"""noise"""
7,0,0.19,"""noise"""
7,10,0.54,"""noise"""
7,25,0.74,"""noise"""
7,40,0.43,"""noise"""
7,50,0.49,"""noise"""
7,60,0.71,"""noise"""
7,75,0.68,"""noise"""
7,90,0.19,"""noise"""
7,100,0.06,"""noise"""
8,0,0.08,"""noise"""
8,10,0.09,"""noise"""
8,25,0.05,"""noise"""
8,40,0.04,"""noise"""
8,50,0.4,"""noise"""
8,60,0.45,"""noise"""
8,75,0.62,"""noise"""
8,90,0.71,"""noise"""
8,100,0.73,"""noise"""
