workerid,percentage_blue,rating,modal
0,0,0.98,"""noise"""
0,10,0.75,"""noise"""
0,25,0.57,"""noise"""
0,40,0.52,"""noise"""
0,50,0.44,"""noise"""
0,60,0.45,"""noise"""
0,75,0.55,"""noise"""
0,90,0.71,"""noise"""
0,100,0.98,"""noise"""
1,0,0.53,"""noise"""
1,10,0.52,"""noise"""
1,25,0.51,"""noise"""
1,40,0.5,"""noise"""
1,50,0.52,"""noise"""
1,60,0.55,"""noise"""
1,75,0.57,"""noise"""
1,90,0.51,"""noise"""
1,100,0.53,"""noise"""
