workerid,percentage_blue,rating,modal
0,0,0.41,"""noise"""
0,10,0.41,"""noise"""
0,25,0.44,"""noise"""
0,40,0.43,"""noise"""
0,50,0.45,"""noise"""
0,60,0.47,"""noise"""
0,75,0.49,"""noise"""
0,90,0.51,"""noise"""
0,100,0.53,"""noise"""
1,0,0.11,"""noise"""
1,10,0.2,"""noise"""
1,25,0.11,"""noise"""
1,40,0.18,"""noise"""
1,50,0.81,"""noise"""
1,60,0.72,"""noise"""
1,75,0.45,"""noise"""
1,90,0.17,"""noise"""
1,100,0.11,"""noise"""
