workerid,percentage_blue,rating,modal
0,0,0.51,"""noise"""
0,10,0.55,"""noise"""
0,25,0.59,"""noise"""
0,40,0.53,"""noise"""
0,50,0.53,"""noise"""
0,60,0.5,"""noise"""
0,75,0.55,"""noise"""
0,90,0.48,"""noise"""
0,100,0.49,"""noise"""
1,0,0.15,"""noise"""
1,10,0.32,"""noise"""
1,25,0.37,"""noise"""
1,40,0.56,"""noise"""
1,50,0.57,"""noise"""
1,60,0.51,"""noise"""
1,75,0.72,"""noise"""
1,90,0.81,"""noise"""
1,100,0.96,"""noise"""
