modal,percentage_blue,cond,rating_pred,run
other,35,might-probably,0.183534142097,2
might,40,might-probably,0.795935043417,2
probably,40,might-probably,0.0250804915773,2
other,40,might-probably,0.178984465006,2
might,45,might-probably,0.786329330011,2
probably,45,might-probably,0.0384113855307,2
other,45,might-probably,0.175259284458,2
might,50,might-probably,0.762937454752,2
probably,50,might-probably,0.0671635800066,2
other,50,might-probably,0.169898965241,2
might,55,might-probably,0.715539112517,2
probably,55,might-probably,0.124346229129,2
other,55,might-probably,0.160114658355,2
might,60,might-probably,0.630772758898,2
probably,60,might-probably,0.226462364016,2
other,60,might-probably,0.142764877085,2
might,65,might-probably,0.505769127192,2
probably,65,might-probably,0.377136305974,2
other,65,might-probably,0.117094566834,2
might,70,might-probably,0.36627964949,2
probably,70,might-probably,0.545280834508,2
other,70,might-probably,0.088439516002,2
might,75,might-probably,0.250470632278,2
probably,75,might-probably,0.684826823763,2
other,75,might-probably,0.0647025439582,2
might,80,might-probably,0.174056134424,2
probably,80,might-probably,0.776832565205,2
other,80,might-probably,0.0491113003707,2
might,85,might-probably,0.130662685258,2
probably,85,might-probably,0.8289616958,2
other,85,might-probably,0.0403756189422,2
might,90,might-probably,0.109417820544,2
probably,90,might-probably,0.854167938146,2
other,90,might-probably,0.03641424131,2
might,95,might-probably,0.102575762878,2
probably,95,might-probably,0.860938429144,2
other,95,might-probably,0.0364858079787,2
might,100,might-probably,0.0461319566706,2
probably,100,might-probably,0.28388207025,2
other,100,might-probably,0.669985973079,2
might,0,might-probably,0.0247461562805,3
probably,0,might-probably,0.0166666666667,3
other,0,might-probably,0.958587177053,3
might,5,might-probably,0.199840740433,3
probably,5,might-probably,0.0166666666721,3
other,5,might-probably,0.783492592895,3
might,10,might-probably,0.485950347726,3
probably,10,might-probably,0.0166666754887,3
other,10,might-probably,0.497382976785,3
might,15,might-probably,0.658548900372,3
probably,15,might-probably,0.0166671476833,3
other,15,might-probably,0.324783951945,3
might,20,might-probably,0.738185778161,3
probably,20,might-probably,0.0166743085577,3
other,20,might-probably,0.245139913281,3
might,25,might-probably,0.774665081649,3
probably,25,might-probably,0.0167316953555,3
other,25,might-probably,0.208603222995,3
might,30,might-probably,0.791365488603,3
probably,30,might-probably,0.017039944786,3
other,30,might-probably,0.191594566611,3
might,35,might-probably,0.798022869064,3
probably,35,might-probably,0.0182803207736,3
other,35,might-probably,0.183696810162,3
might,40,might-probably,0.797954528257,3
probably,40,might-probably,0.0222722938215,3
other,40,might-probably,0.179773177922,3
might,45,might-probably,0.790144427567,3
probably,45,might-probably,0.033075335039,3
other,45,might-probably,0.176780237394,3
might,50,might-probably,0.768985756873,3
probably,50,might-probably,0.0588108393544,3
other,50,might-probably,0.172203403773,3
might,55,might-probably,0.72265121346,3
probably,55,might-probably,0.114437567823,3
other,55,might-probably,0.162911218717,3
might,60,might-probably,0.634228329491,3
probably,60,might-probably,0.220826815597,3
other,60,might-probably,0.144944854912,3
might,65,might-probably,0.499315352565,3
probably,65,might-probably,0.383533152331,3
other,65,might-probably,0.117151495104,3
might,70,might-probably,0.351313082704,3
probably,70,might-probably,0.56217715201,3
other,70,might-probably,0.0865097652856,3
might,75,might-probably,0.235591747638,3
probably,75,might-probably,0.701850177856,3
other,75,might-probably,0.0625580745061,3
might,80,might-probably,0.164840691645,3
probably,80,might-probably,0.787161037132,3
other,80,might-probably,0.0479982712239,3
might,85,might-probably,0.127925213538,3
probably,85,might-probably,0.83146540133,3
other,85,might-probably,0.0406093851324,3
might,90,might-probably,0.112064896957,3
probably,90,might-probably,0.849910789411,3
other,90,might-probably,0.0380243136318,3
might,95,might-probably,0.108243163769,3
probably,95,might-probably,0.852013725853,3
other,95,might-probably,0.0397431103776,3
might,100,might-probably,0.0474551100519,3
probably,100,might-probably,0.28023543279,3
other,100,might-probably,0.672309457158,3
might,0,might-probably,0.0222265674314,4
probably,0,might-probably,0.0166666666667,4
other,0,might-probably,0.961106765902,4
might,5,might-probably,0.177229886011,4
probably,5,might-probably,0.0166666667094,4
other,5,might-probably,0.806103447279,4
might,10,might-probably,0.465243475832,4
probably,10,might-probably,0.0166667022079,4
other,10,might-probably,0.51808982196,4
might,15,might-probably,0.649603702449,4
probably,15,might-probably,0.0166679852584,4
other,15,might-probably,0.333728312293,4
might,20,might-probably,0.735116427758,4
probably,20,might-probably,0.0166827650312,4
other,20,might-probably,0.24820080721,4
might,25,might-probably,0.77391393677,4
probably,25,might-probably,0.0167796604216,4
other,25,might-probably,0.209306402809,4
might,30,might-probably,0.791393684514,4
probably,30,might-probably,0.0172268175808,4
other,30,might-probably,0.191379497905,4
might,35,might-probably,0.798055798493,4
probably,35,might-probably,0.0188261525255,4
other,35,might-probably,0.183118048982,4
might,40,might-probably,0.797473353513,4
probably,40,might-probably,0.0235191876624,4
other,40,might-probably,0.179007458825,4
might,45,might-probably,0.788809681361,4
probably,45,might-probably,0.0353353187474,4
