"workerid","color","percentage_blue","modal","rating","speaker_cond"
2,"""orange""",25,"""might""",0.85,"f"
2,"""orange""",40,"""might""",0.72,"f"
2,"""orange""",50,"""might""",0.73,"f"
2,"""orange""",60,"""might""",0.46,"f"
2,"""orange""",75,"""might""",0.12,"f"
2,"""orange""",90,"""might""",0.05,"f"
2,"""orange""",100,"""might""",0.02,"f"
2,"""blue""",0,"""might""",0.01,"f"
2,"""blue""",10,"""might""",0.02,"f"
2,"""blue""",25,"""might""",0.15,"f"
2,"""blue""",40,"""might""",0.44,"f"
2,"""blue""",50,"""might""",0.6,"f"
2,"""blue""",60,"""might""",0.75,"f"
2,"""blue""",75,"""might""",0.99,"f"
2,"""blue""",90,"""might""",0.99,"f"
2,"""blue""",100,"""might""",0.99,"f"
3,"""blue""",0,"""probably""",0,"f"
3,"""blue""",10,"""probably""",0,"f"
3,"""blue""",25,"""probably""",0,"f"
3,"""blue""",40,"""probably""",0,"f"
3,"""blue""",50,"""probably""",0,"f"
3,"""blue""",60,"""probably""",0,"f"
3,"""blue""",75,"""probably""",0.46,"f"
3,"""blue""",90,"""probably""",1,"f"
3,"""blue""",100,"""probably""",0,"f"
3,"""blue""",0,"""bare""",0,"f"
3,"""blue""",10,"""bare""",0,"f"
3,"""blue""",25,"""bare""",0,"f"
3,"""blue""",40,"""bare""",0,"f"
3,"""blue""",50,"""bare""",0,"f"
3,"""blue""",60,"""bare""",0,"f"
3,"""blue""",75,"""bare""",0,"f"
3,"""blue""",90,"""bare""",0,"f"
3,"""blue""",100,"""bare""",1,"f"
3,"""orange""",0,"""might""",0,"f"
3,"""orange""",10,"""might""",0,"f"
3,"""orange""",25,"""might""",0.29,"f"
3,"""orange""",40,"""might""",1,"f"
3,"""orange""",50,"""might""",1,"f"
3,"""orange""",60,"""might""",0.32,"f"
3,"""orange""",75,"""might""",0.16,"f"
3,"""orange""",90,"""might""",0,"f"
3,"""orange""",100,"""might""",0,"f"
3,"""blue""",0,"""might""",0,"f"
3,"""blue""",10,"""might""",1,"f"
3,"""blue""",25,"""might""",0.83,"f"
3,"""blue""",40,"""might""",0.48,"f"
3,"""blue""",50,"""might""",0.46,"f"
3,"""blue""",60,"""might""",0.22,"f"
3,"""blue""",75,"""might""",0.14,"f"
3,"""blue""",90,"""might""",0,"f"
3,"""blue""",100,"""might""",0,"f"
3,"""orange""",0,"""probably""",0,"f"
3,"""orange""",10,"""probably""",1,"f"
3,"""orange""",25,"""probably""",0.51,"f"
3,"""orange""",40,"""probably""",0,"f"
3,"""orange""",50,"""probably""",0,"f"
3,"""orange""",60,"""probably""",0,"f"
3,"""orange""",75,"""probably""",0,"f"
3,"""orange""",90,"""probably""",0,"f"
3,"""orange""",100,"""probably""",0,"f"
3,"""orange""",0,"""bare""",1,"f"
3,"""orange""",10,"""bare""",0,"f"
3,"""orange""",25,"""bare""",0,"f"
3,"""orange""",40,"""bare""",0,"f"
3,"""orange""",50,"""bare""",0,"f"
3,"""orange""",60,"""bare""",0,"f"
3,"""orange""",75,"""bare""",0,"f"
3,"""orange""",90,"""bare""",0,"f"
3,"""orange""",100,"""bare""",0,"f"
4,"""orange""",0,"""bare""",0.97,"f"
4,"""orange""",10,"""bare""",0.88,"f"
4,"""orange""",25,"""bare""",0.2,"f"
4,"""orange""",40,"""bare""",0,"f"
4,"""orange""",50,"""bare""",0.04,"f"
4,"""orange""",60,"""bare""",0.06,"f"
4,"""orange""",75,"""bare""",0.03,"f"
