"workerid","catch_trial","color","image","show_cross","percentage_blue","video","modal","catch_trial_answer_correct","speaker_cond"
0,1,"""blue""","""scene_blue_video_100.gif""","false","""100""","""blue_bare_f""","""bare""",0,"f"
0,0,"""orange""","""scene_orange_video_75.gif""",NA,"""75""","""orange_might_f""","""might""",-1,"f"
0,0,"""blue""","""scene_blue_video_25.gif""",NA,"""25""","""blue_might_f""","""might""",-1,"f"
0,1,"""orange""","""scene_orange_video_0.gif""","false","""0""","""orange_bare_f""","""bare""",1,"f"
0,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_probably_f""","""probably""",-1,"f"
0,1,"""orange""","""scene_orange_video_75.gif""","false","""75""","""orange_might_f""","""might""",1,"f"
0,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_probably_f""","""probably""",-1,"f"
0,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
0,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_f""","""bare""",-1,"f"
0,0,"""orange""","""scene_orange_video_75.gif""",NA,"""75""","""orange_might_f""","""might""",-1,"f"
0,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_probably_f""","""probably""",-1,"f"
0,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_probably_f""","""probably""",1,"f"
0,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_probably_f""","""probably""",-1,"f"
0,1,"""blue""","""scene_blue_video_25.gif""","false","""25""","""blue_might_f""","""might""",1,"f"
0,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_f""","""bare""",-1,"f"
0,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_probably_f""","""probably""",-1,"f"
0,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_probably_f""","""probably""",-1,"f"
0,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_probably_f""","""probably""",-1,"f"
0,1,"""orange""","""scene_orange_video_40.gif""","true","""40""","""orange_probably_f""","""probably""",1,"f"
0,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_probably_f""","""probably""",-1,"f"
1,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_m""","""bare""",-1,"m"
1,0,"""orange""","""scene_orange_video_75.gif""",NA,"""75""","""orange_might_m""","""might""",-1,"m"
1,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_probably_m""","""probably""",-1,"m"
1,0,"""blue""","""scene_blue_video_100.gif""",NA,"""100""","""blue_bare_m""","""bare""",-1,"m"
1,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_probably_m""","""probably""",-1,"m"
1,1,"""blue""","""scene_blue_video_100.gif""","false","""100""","""blue_bare_m""","""bare""",1,"m"
1,1,"""orange""","""scene_orange_video_0.gif""","false","""0""","""orange_bare_m""","""bare""",1,"m"
1,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_probably_m""","""probably""",-1,"m"
1,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_probably_m""","""probably""",-1,"m"
1,1,"""blue""","""scene_blue_video_25.gif""","true","""25""","""blue_might_m""","""might""",1,"m"
1,0,"""blue""","""scene_blue_video_25.gif""",NA,"""25""","""blue_might_m""","""might""",-1,"m"
1,1,"""blue""","""scene_blue_video_60.gif""","true","""60""","""blue_probably_m""","""probably""",1,"m"
1,0,"""orange""","""scene_orange_video_75.gif""",NA,"""75""","""orange_might_m""","""might""",-1,"m"
1,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_probably_m""","""probably""",-1,"m"
1,0,"""orange""","""scene_orange_video_0.gif""",NA,"""0""","""orange_bare_m""","""bare""",-1,"m"
1,0,"""blue""","""scene_blue_video_25.gif""",NA,"""25""","""blue_might_m""","""might""",-1,"m"
1,1,"""blue""","""scene_blue_video_60.gif""","true","""60""","""blue_probably_m""","""probably""",1,"m"
1,1,"""blue""","""scene_blue_video_60.gif""","false","""60""","""blue_probably_m""","""probably""",1,"m"
1,0,"""blue""","""scene_blue_video_60.gif""",NA,"""60""","""blue_probably_m""","""probably""",-1,"m"
1,0,"""orange""","""scene_orange_video_40.gif""",NA,"""40""","""orange_probably_m""","""probably""",-1,"m"
