"","pair","reverse_sent_order","sentence1","sentence2","modal1","modal2","rating1","rating2","rating_other","percentage_blue","color","xxx","catch_trial","catch_trial_answer_correct","speaker","condition","phase","language","gender","age","misread_instructions","trial","subjectid","date"
"22","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.17,0.79,0.04,0,"blue",1,1,0,"m","confident_f","pre_exposure","German","m",28,0,21,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"23","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.42,0.54,0.04,25,"orange",1,0,-1,"m","confident_f","pre_exposure","German","m",28,0,22,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"24","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.07,0.33,0.6,90,"orange",1,0,-1,"f","confident_f","pre_exposure","German","m",28,0,23,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"25","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.63,0.15,0.22,0,"orange",1,0,-1,"m","confident_f","pre_exposure","German","m",28,0,24,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"26","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.78,0.22,0,10,"blue",1,0,-1,"f","confident_f","pre_exposure","German","m",28,0,25,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"27","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.45,0.21,0.34,40,"blue",1,1,0,"m","confident_f","pre_exposure","German","m",28,0,26,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"28","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.36,0.16,0.48,60,"orange",1,0,-1,"m","confident_f","pre_exposure","German","m",28,0,27,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"29","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.41,0.32,0.27,60,"blue",1,0,-1,"f","confident_f","pre_exposure","German","m",28,0,28,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"30","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.09,0.43,0.48,0,"orange",1,0,-1,"f","confident_f","pre_exposure","German","m",28,0,29,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"31","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.36,0.44,0.2,0,"blue",1,0,-1,"f","confident_f","pre_exposure","German","m",28,0,30,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"32","might-probably",0,"You might get a blue one","You'll probably get a blue one","might","probably",0.11,0.21,0.68,90,"blue",1,0,-1,"m","confident_f","pre_exposure","German","m",28,0,31,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
"33","might-probably",0,"You might get an orange one","You'll probably get an orange one","might","probably",0.22,0.78,0,25,"orange",1,0,-1,"f","confident_f","pre_exposure","German","m",28,0,32,"12284d6642bcee215090ab80c61119fe584abc5178ed","2018-11-08T21:02:46-08:00"
