"workerid","color","percentage_blue","modal","rating","speaker_cond"
1,"""blue""",90,"""bare""",0,"f"
1,"""blue""",100,"""bare""",1,"f"
1,"""blue""",0,"""probably""",0,"f"
1,"""blue""",10,"""probably""",0,"f"
1,"""blue""",25,"""probably""",0,"f"
1,"""blue""",40,"""probably""",0.32,"f"
1,"""blue""",50,"""probably""",0.52,"f"
1,"""blue""",60,"""probably""",0.74,"f"
1,"""blue""",75,"""probably""",1,"f"
1,"""blue""",90,"""probably""",1,"f"
1,"""blue""",100,"""probably""",0,"f"
2,"""orange""",0,"""might""",1,"f"
2,"""orange""",10,"""might""",0.87,"f"
2,"""orange""",25,"""might""",0.81,"f"
2,"""orange""",40,"""might""",0.7,"f"
2,"""orange""",50,"""might""",0.55,"f"
2,"""orange""",60,"""might""",0.39,"f"
2,"""orange""",75,"""might""",0.26,"f"
2,"""orange""",90,"""might""",0.14,"f"
2,"""orange""",100,"""might""",0,"f"
2,"""blue""",0,"""bare""",0,"f"
2,"""blue""",10,"""bare""",0.17,"f"
2,"""blue""",25,"""bare""",0.29,"f"
2,"""blue""",40,"""bare""",0.5,"f"
2,"""blue""",50,"""bare""",0.57,"f"
2,"""blue""",60,"""bare""",0.64,"f"
2,"""blue""",75,"""bare""",0.77,"f"
2,"""blue""",90,"""bare""",0.85,"f"
2,"""blue""",100,"""bare""",1,"f"
2,"""blue""",0,"""probably""",0,"f"
2,"""blue""",10,"""probably""",0.2,"f"
2,"""blue""",25,"""probably""",0.39,"f"
2,"""blue""",40,"""probably""",0.52,"f"
2,"""blue""",50,"""probably""",0.63,"f"
2,"""blue""",60,"""probably""",0.72,"f"
2,"""blue""",75,"""probably""",0.81,"f"
2,"""blue""",90,"""probably""",0.89,"f"
2,"""blue""",100,"""probably""",1,"f"
2,"""blue""",0,"""might""",0,"f"
2,"""blue""",10,"""might""",0.8,"f"
2,"""blue""",25,"""might""",0.76,"f"
2,"""blue""",40,"""might""",0.75,"f"
2,"""blue""",50,"""might""",0.78,"f"
2,"""blue""",60,"""might""",0.76,"f"
2,"""blue""",75,"""might""",0.85,"f"
2,"""blue""",90,"""might""",1,"f"
2,"""blue""",100,"""might""",0.87,"f"
2,"""orange""",0,"""bare""",1,"f"
2,"""orange""",10,"""bare""",0,"f"
2,"""orange""",25,"""bare""",0,"f"
2,"""orange""",40,"""bare""",0,"f"
2,"""orange""",50,"""bare""",0,"f"
2,"""orange""",60,"""bare""",0,"f"
2,"""orange""",75,"""bare""",0,"f"
2,"""orange""",90,"""bare""",0,"f"
2,"""orange""",100,"""bare""",0,"f"
2,"""orange""",0,"""probably""",0,"f"
2,"""orange""",10,"""probably""",1,"f"
2,"""orange""",25,"""probably""",1,"f"
2,"""orange""",40,"""probably""",1,"f"
2,"""orange""",50,"""probably""",0.62,"f"
2,"""orange""",60,"""probably""",0.57,"f"
2,"""orange""",75,"""probably""",0,"f"
2,"""orange""",90,"""probably""",0,"f"
2,"""orange""",100,"""probably""",0,"f"
3,"""orange""",0,"""bare""",0.96,"f"
3,"""orange""",10,"""bare""",0.18,"f"
3,"""orange""",25,"""bare""",0.04,"f"
3,"""orange""",40,"""bare""",0,"f"
3,"""orange""",50,"""bare""",0,"f"
3,"""orange""",60,"""bare""",0,"f"
3,"""orange""",75,"""bare""",0,"f"
3,"""orange""",90,"""bare""",0,"f"
3,"""orange""",100,"""bare""",0,"f"
3,"""blue""",0,"""bare""",0,"f"
3,"""blue""",10,"""bare""",0,"f"
3,"""blue""",25,"""bare""",0,"f"
3,"""blue""",40,"""bare""",0,"f"
3,"""blue""",50,"""bare""",0,"f"
3,"""blue""",60,"""bare""",0,"f"
3,"""blue""",75,"""bare""",0,"f"
3,"""blue""",90,"""bare""",0.03,"f"
3,"""blue""",100,"""bare""",1,"f"
3,"""orange""",0,"""probably""",0,"f"
3,"""orange""",10,"""probably""",1,"f"
3,"""orange""",25,"""probably""",0.86,"f"
3,"""orange""",40,"""probably""",0.27,"f"
3,"""orange""",50,"""probably""",0.11,"f"
3,"""orange""",60,"""probably""",0,"f"
3,"""orange""",75,"""probably""",0,"f"
3,"""orange""",90,"""probably""",0,"f"
3,"""orange""",100,"""probably""",0,"f"
3,"""blue""",0,"""might""",0,"f"
3,"""blue""",10,"""might""",0,"f"
3,"""blue""",25,"""might""",0.25,"f"
3,"""blue""",40,"""might""",0.56,"f"
3,"""blue""",50,"""might""",0.71,"f"
3,"""blue""",60,"""might""",0.71,"f"
3,"""blue""",75,"""might""",1,"f"
3,"""blue""",90,"""might""",0.23,"f"
3,"""blue""",100,"""might""",0,"f"
3,"""blue""",0,"""probably""",0,"f"
3,"""blue""",10,"""probably""",0,"f"
3,"""blue""",25,"""probably""",0,"f"
3,"""blue""",40,"""probably""",0,"f"
3,"""blue""",50,"""probably""",0.27,"f"
3,"""blue""",60,"""probably""",0.55,"f"
3,"""blue""",75,"""probably""",0.78,"f"
3,"""blue""",90,"""probably""",1,"f"
3,"""blue""",100,"""probably""",0,"f"
3,"""orange""",0,"""might""",0,"f"
3,"""orange""",10,"""might""",0.38,"f"
3,"""orange""",25,"""might""",0.56,"f"
3,"""orange""",40,"""might""",0.74,"f"
3,"""orange""",50,"""might""",0.84,"f"
3,"""orange""",60,"""might""",1,"f"
3,"""orange""",75,"""might""",0.46,"f"
3,"""orange""",90,"""might""",0.13,"f"
3,"""orange""",100,"""might""",0,"f"
4,"""blue""",0,"""might""",0.05,"f"
4,"""blue""",10,"""might""",0.04,"f"
4,"""blue""",25,"""might""",0.02,"f"
4,"""blue""",40,"""might""",0.55,"f"
4,"""blue""",50,"""might""",0.91,"f"
4,"""blue""",60,"""might""",0.93,"f"
4,"""blue""",75,"""might""",0.7,"f"
4,"""blue""",90,"""might""",0.22,"f"
4,"""blue""",100,"""might""",0.06,"f"
4,"""blue""",0,"""bare""",0.04,"f"
4,"""blue""",10,"""bare""",0.01,"f"
4,"""blue""",25,"""bare""",0,"f"
4,"""blue""",40,"""bare""",0.04,"f"
4,"""blue""",50,"""bare""",0.06,"f"
4,"""blue""",60,"""bare""",0.04,"f"
4,"""blue""",75,"""bare""",0.02,"f"
4,"""blue""",90,"""bare""",0.05,"f"
4,"""blue""",100,"""bare""",0.96,"f"
4,"""orange""",0,"""bare""",1,"f"
4,"""orange""",10,"""bare""",0.04,"f"
4,"""orange""",25,"""bare""",0.04,"f"
4,"""orange""",40,"""bare""",0.04,"f"
4,"""orange""",50,"""bare""",0.02,"f"
4,"""orange""",60,"""bare""",0.05,"f"
4,"""orange""",75,"""bare""",0.06,"f"
4,"""orange""",90,"""bare""",0.04,"f"
4,"""orange""",100,"""bare""",0.02,"f"
4,"""orange""",0,"""probably""",0.02,"f"
4,"""orange""",10,"""probably""",0.98,"f"
4,"""orange""",25,"""probably""",0.75,"f"
4,"""orange""",40,"""probably""",0.14,"f"
